Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Bahrain,2020-03-31,515.0,368.12,295.0,4.0,0.00776699,,,0.0,0.0
Bahrain,2020-04-01,567.0,405.29,295.0,4.0,0.007054673721340388,,,52.0,0.0
Bahrain,2020-04-02,569.0,406.72,316.0,4.0,0.007029876977152899,,,2.0,0.0
Bahrain,2020-04-03,635.0,453.9,341.0,4.0,0.006299212598425197,,,66.0,0.0
Bahrain,2020-04-07,723.0,468.48,451.0,4.0,0.0055325034578146606,,,88.0,0.0
Bahrain,2020-04-10,887.0,574.74,519.0,5.0,0.005636978579481398,,,164.0,1.0
Bahrain,2020-04-11,998.0,646.67,551.0,6.0,0.006012024048096192,,,111.0,1.0
Bahrain,2020-04-12,1040.0,673.88,555.0,6.0,0.00576923076923077,,,42.0,0.0
Bahrain,2020-04-14,1361.0,881.88,591.0,6.0,0.00440852314474651,,,321.0,0.0
Bahrain,2020-04-17,1700.0,1101.54,703.0,7.0,0.00411764705882353,,,339.0,1.0
Bahrain,2020-04-18,1744.0,1130.05,726.0,7.0,0.004013761467889909,,,44.0,0.0
Bahrain,2020-04-20,1881.0,1218.82,762.0,7.0,0.003721424774056353,,,137.0,0.0
Bahrain,2020-04-22,1973.0,1278.43,784.0,7.0,0.003547896604156108,,,92.0,0.0
Bahrain,2020-04-23,2027.0,1313.42,1026.0,7.0,0.003453379378391712,,,54.0,0.0
Bahrain,2020-04-24,2217.0,1436.53,1082.0,8.0,0.0036084799278304014,,,190.0,1.0
Bahrain,2020-04-25,2518.0,1631.57,1113.0,8.0,0.003177124702144559,,,301.0,0.0
Bahrain,2020-04-26,2588.0,1676.93,1160.0,8.0,0.0030911901081916537,,,70.0,0.0
Bahrain,2020-04-27,2647.0,1715.16,1189.0,20.0,0.007555723460521345,,,59.0,12.0
Bahrain,2020-04-28,2723.0,1764.4,1218.0,20.0,0.007344840249724568,,,76.0,0.0
Bahrain,2020-04-29,2811.0,1821.42,1310.0,8.0,0.002845962290999644,,,88.0,0.0
Bahrain,2020-04-30,2811.0,1821.42,1310.0,8.0,0.002845962290999644,,,0.0,0.0
Bahrain,2020-05-01,3040.0,1970.0,1500.0,8.0,0.002631578947368421,,,229.0,0.0
Bahrain,2020-05-02,3170.0,2054.0,1555.0,8.0,0.002523659305993691,,,130.0,0.0
Bahrain,2020-05-03,3284.0,2128.0,1568.0,8.0,0.00243605359317905,,,114.0,0.0
Bahrain,2020-05-04,3356.0,2175.0,1717.0,8.0,0.0023837902264600714,,,72.0,0.0
Bahrain,2020-05-05,3533.0,2289.0,1744.0,8.0,0.0022643645626945932,,,177.0,0.0
Bahrain,2020-05-06,3720.0,2410.0,1762.0,8.0,0.002150537634408602,,,187.0,0.0
Bahrain,2020-05-07,3934.0,2549.0,1860.0,8.0,0.0020335536349771225,,,214.0,0.0
Bahrain,2020-05-08,4199.0,2721.0,2000.0,8.0,0.001905215527506549,,,265.0,0.0
Bahrain,2020-05-09,4444.0,2880.0,2028.0,8.0,0.0018001800180018,,,245.0,0.0
Bahrain,2020-05-10,4774.0,3093.0,2055.0,8.0,0.0016757436112274822,,,330.0,0.0
Bahrain,2020-05-11,4941.0,3202.0,2070.0,8.0,0.0016191054442420564,,,167.0,0.0
Bahrain,2020-05-12,5236.0,3393.0,2152.0,8.0,0.0015278838808250573,,,295.0,0.0
Bahrain,2020-05-13,5531.0,3584.0,2192.0,8.0,0.001446393057313325,,,295.0,0.0
Bahrain,2020-05-15,6198.0,4016.0,2353.0,10.0,0.0016134236850596966,,,667.0,2.0
Bahrain,2020-05-16,6583.0,4266.0,2640.0,12.0,0.0018228771077016558,,,385.0,2.0
Bahrain,2020-05-17,6747.0,4372.0,2753.0,12.0,0.0017785682525566918,,,164.0,0.0
Bahrain,2020-05-18,6956.0,4507.0,2910.0,12.0,0.0017251293847038527,,,209.0,0.0
Bahrain,2020-05-19,7184.0,4655.0,2931.0,12.0,0.0016703786191536749,,,228.0,0.0
Bahrain,2020-05-20,7532.0,4880.0,2964.0,12.0,0.0015932023366967605,,,348.0,0.0
,2020-05-21,,,,,,,,,
Bahrain,2020-05-22,8174.0,5296.0,3873.0,12.0,0.0014680694886224615,,,,
Bahrain,2020-05-23,8414.0,5452.0,4096.0,12.0,0.0014261944378416926,,,240.0,0.0
Bahrain,2020-05-24,8802.0,5703.0,4465.0,13.0,0.0014769370597591455,,,388.0,1.0
Bahrain,2020-05-25,9138.0,5921.0,4587.0,13.0,0.0014226307725979427,,,336.0,0.0
Bahrain,2020-05-26,9171.0,5942.0,4753.0,14.0,0.001526551084941664,,,33.0,1.0
Bahrain,2020-05-27,9366.0,6069.0,4938.0,14.0,0.0014947683109118087,,,195.0,0.0
Bahrain,2020-05-28,9692.0,6280.0,45152.0,15.0,0.0015476681799422205,,,326.0,1.0
Bahrain,2020-05-29,10052.0,6513.0,5419.0,15.0,0.0014922403501790688,,,360.0,0.0
Bahrain,2020-05-30,10449.0,6771.0,5700.0,15.0,0.001435544071202986,,,397.0,0.0
Bahrain,2020-05-31,10793.0,6993.0,5826.0,15.0,0.0013897896784953213,,,344.0,0.0
Bahrain,2020-06-01,11288.0,7314.0,6673.0,19.0,0.001683203401842665,,,495.0,4.0
Bahrain,2020-06-02,11871.0,7692.0,7076.0,19.0,0.0016005391289697587,,,583.0,0.0
Bahrain,2020-06-03,12311.0,7977.0,7407.0,19.0,0.0015,,,440.0,0.0
Bahrain,2020-06-04,12815.0,8304.0,7410.0,20.0,0.0016,,,504.0,1.0
Bahrain,2020-06-05,13296.0,8615.0,7728.0,21.0,0.0016,,,481.0,1.0
Bahrain,2020-06-06,13835.0,8965.0,8585.0,22.0,0.0016,,,539.0,1.0
Bahrain,2020-06-07,14383.0,9320.0,9056.0,23.0,0.0016,,,548.0,1.0
Bahrain,2020-06-08,14763.0,9566.0,9468.0,26.0,0.0018,,,380.0,3.0
Bahrain,2020-06-09,15417.0,9990.0,10326.0,27.0,0.0018,,,654.0,1.0
Bahrain,2020-06-10,15731.0,10193.0,10606.0,29.0,0.0018,,,314.0,2.0
Bahrain,2020-06-12,16667.0,10800.0,11487.0,34.0,0.002,,,936.0,5.0
Bahrain,2020-06-13,17269.0,11190.0,11903.0,36.0,0.0021,,,602.0,2.0
Bahrain,2020-06-14,17713.0,11477.0,12191.0,37.0,0.0021,,,444.0,1.0
Bahrain,2020-06-15,18227.0,11810.0,12818.0,41.0,0.0022,,,514.0,4.0
Bahrain,2020-06-16,18544.0,12016.0,13197.0,46.0,0.0025,,,317.0,5.0
Bahrain,2020-06-17,19553.0,12670.0,13866.0,47.0,0.0024,,,1009.0,1.0
Bahrain,2020-06-18,19961.0,12934.0,14185.0,49.0,0.0025,,,408.0,2.0
Bahrain,2020-06-19,20430.0,13238.0,14696.0,55.0,0.0027,,,469.0,6.0
Bahrain,2020-06-20,20916.0,13553.0,15287.0,57.0,0.0027,,,486.0,2.0
Bahrain,2020-06-21,21331.0,13822.0,15790.0,60.0,0.0028,,,415.0,3.0
Bahrain,2020-06-22,21764.0,14102.0,16419.0,63.0,0.0029,,,433.0,3.0
Bahrain,2020-06-23,21764.0,14102.0,16419.0,63.0,0.0029,,,0.0,0.0
Bahrain,2020-06-24,23062.0,14943.0,17450.0,67.0,0.0029,,,1298.0,4.0
Bahrain,2020-06-25,23570.0,15272.0,17977.0,68.0,0.0029,,,508.0,1.0
Bahrain,2020-06-26,24081.0,15604.0,18501.0,71.0,0.0029,,,511.0,3.0
Bahrain,2020-06-27,24805.0,16073.0,19137.0,73.0,0.0029,,,724.0,2.0
Bahrain,2020-06-28,24805.0,16073.0,19137.0,73.0,0.0029,,,0.0,0.0
Bahrain,2020-06-29,25705.0,16656.0,20517.0,83.0,0.0032,,,900.0,10.0
Bahrain,2020-06-30,26239.0,17002.0,20928.0,84.0,0.0032,,,534.0,1.0
Bahrain,2020-07-01,26758.0,17338.0,21331.0,87.0,0.0033,,,519.0,3.0
Bahrain,2020-07-02,26758.0,17338.0,21331.0,90.0,0.0034,,,0.0,3.0
Bahrain,2020-07-03,27414.0,17763.0,21948.0,92.0,0.0034,,,656.0,2.0
Bahrain,2020-07-04,28410.0,18409.0,23318.0,95.0,0.0033,,,996.0,3.0
Bahrain,2020-07-05,28857.0,18698.0,23959.0,96.0,0.0033,,,447.0,1.0
Bahrain,2020-07-06,28857.0,18698.0,23959.0,96.0,0.0033,,,0.0,0.0
Bahrain,2020-07-07,29821.0,19323.0,25178.0,98.0,0.0033,,,964.0,2.0
Bahrain,2020-07-09,30931.0,20042.0,26073.0,98.0,0.0032,,,1110.0,0.0
Bahrain,2020-07-10,30931.0,20042.0,26073.0,98.0,0.0032,,,0.0,0.0
Bahrain,2020-07-11,32039.0,20760.0,27213.0,104.0,0.0032,,,1108.0,6.0
Bahrain,2020-07-12,32039.0,20760.0,27213.0,104.0,0.0032,,,0.0,0.0
Bahrain,2020-07-14,33476.0,21691.0,28425.0,104.0,0.0031,,,1437.0,0.0
Bahrain,2020-07-15,33476.0,21691.0,28425.0,104.0,0.0031,,,0.0,0.0
Bahrain,2020-07-16,33476.0,21691.0,28425.0,104.0,0.0031,,,0.0,0.0
Bahrain,2020-07-18,33476.0,21691.0,28425.0,104.0,0.0031,,,0.0,0.0
Bahrain,2020-07-19,36004.0,23329.0,31765.0,124.0,0.0034,,,2528.0,20.0
Bahrain,2020-07-19,36004.0,23329.0,31765.0,124.0,0.0034,,,0.0,0.0
Bahrain,2020-07-21,36936.0,23933.0,32965.0,128.0,0.0035,,,932.0,4.0
Bahrain,2020-07-22,37316.0,24179.0,33455.0,129.0,0.0035,,,380.0,1.0
Bahrain,2020-07-23,37316.0,24179.0,33455.0,129.0,0.0035,,,0.0,0.0
Bahrain,2020-07-24,37637.0,24387.0,33894.0,130.0,0.0035,,,321.0,1.0
Bahrain,2020-07-25,38458.0,24919.0,34826.0,136.0,0.0035,,,821.0,6.0
Bahrain,2020-07-26,38747.0,25107.0,35205.0,137.0,0.0035,,,289.0,1.0
Bahrain,2020-07-27,39131.0,25355.0,35689.0,140.0,0.0036,,,384.0,3.0
Bahrain,2020-07-28,39482.0,25583.0,36110.0,141.0,0.0036,,,351.0,1.0
