Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Republic of the Congo,2020-03-31,19.0,5.56,0.0,0.0,0.0,,,0.0,0.0
Republic of the Congo,2020-04-01,19.0,5.56,0.0,0.0,0.0,,,0.0,0.0
Republic of the Congo,2020-04-02,22.0,6.43,0.0,2.0,0.09090909090909093,,,3.0,2.0
Republic of the Congo,2020-04-03,22.0,6.43,0.0,2.0,0.09090909090909093,,,0.0,0.0
Republic of the Congo,2020-04-07,45.0,8.15,0.0,5.0,0.1111111111111111,,,23.0,3.0
Republic of the Congo,2020-04-10,45.0,8.15,0.0,5.0,0.1111111111111111,,,0.0,0.0
Republic of the Congo,2020-04-11,60.0,10.87,0.0,5.0,0.08333333333333333,,,15.0,0.0
Republic of the Congo,2020-04-12,60.0,10.87,0.0,5.0,0.08333333333333333,,,0.0,0.0
Republic of the Congo,2020-04-14,60.0,10.87,0.0,5.0,0.08333333333333333,,,0.0,0.0
Republic of the Congo,2020-04-17,117.0,21.2,11.0,5.0,0.042735042735042736,,,57.0,0.0
Republic of the Congo,2020-04-18,143.0,25.91,11.0,6.0,0.04195804195804196,,,26.0,1.0
Republic of the Congo,2020-04-20,143.0,25.91,11.0,6.0,0.04195804195804196,,,0.0,0.0
Republic of the Congo,2020-04-22,165.0,29.9,16.0,6.0,0.03636363636363636,,,22.0,0.0
Republic of the Congo,2020-04-23,186.0,33.71,16.0,6.0,0.03225806451612903,,,21.0,0.0
Republic of the Congo,2020-04-24,186.0,33.71,16.0,6.0,0.03225806451612903,,,0.0,0.0
Republic of the Congo,2020-04-25,200.0,36.24,19.0,6.0,0.03,,,14.0,0.0
Republic of the Congo,2020-04-26,200.0,36.24,19.0,8.0,0.04,,,0.0,2.0
Republic of the Congo,2020-04-27,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-04-28,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-04-29,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-04-30,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-01,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-02,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-03,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-04,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-05,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-06,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-07,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-08,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-09,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-10,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-11,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-12,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-13,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-15,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-16,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-17,0.0,0.0,0.0,0.0,,,,0.0,0.0
Republic of the Congo,2020-05-18,0.0,0.0,0.0,0.0,,,,0.0,0.0
