Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Saint Vincent and the Grenadines,2020-03-31,1.0,9.97,1.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-04-01,1.0,9.97,1.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-04-02,1.0,9.97,1.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-04-03,2.0,19.93,1.0,0.0,0.0,,,1.0,0.0
,2020-04-07,,,,,,,,,
,2020-04-10,,,,,,,,,
Saint Vincent and the Grenadines,2020-04-11,1.0,0.0,1.0,0.0,0.0,,,,
Saint Vincent and the Grenadines,2020-04-12,12.0,108.49,1.0,0.0,0.0,,,11.0,0.0
Saint Vincent and the Grenadines,2020-04-14,12.0,108.49,1.0,0.0,0.0,,,0.0,0.0
,2020-04-17,,,,,,,,,
,2020-04-18,,,,,,,,,
,2020-04-20,,,,,,,,,
Saint Vincent and the Grenadines,2020-04-22,12.0,108.49,0.0,0.0,0.0,,,,
Saint Vincent and the Grenadines,2020-04-23,12.0,108.49,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-04-24,13.0,117.53,0.0,0.0,0.0,,,1.0,0.0
Saint Vincent and the Grenadines,2020-04-25,13.0,117.53,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-04-26,14.0,126.57,0.0,0.0,0.0,,,1.0,0.0
Saint Vincent and the Grenadines,2020-04-27,14.0,126.57,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-04-28,14.0,126.57,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-04-29,15.0,135.61,0.0,0.0,0.0,,,1.0,0.0
Saint Vincent and the Grenadines,2020-04-30,15.0,135.61,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-01,16.0,145.0,0.0,0.0,0.0,,,1.0,0.0
Saint Vincent and the Grenadines,2020-05-02,16.0,145.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-03,16.0,145.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-04,16.0,145.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-05,16.0,145.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-06,17.0,154.0,0.0,0.0,0.0,,,1.0,0.0
Saint Vincent and the Grenadines,2020-05-07,17.0,154.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-08,17.0,154.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-09,17.0,154.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-10,17.0,154.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-11,17.0,154.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-12,17.0,154.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-13,17.0,154.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-15,17.0,154.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-16,17.0,154.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-17,17.0,154.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-18,17.0,154.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-19,17.0,154.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-20,17.0,154.0,0.0,0.0,0.0,,,0.0,0.0
,2020-05-21,,,,,,,,,
Saint Vincent and the Grenadines,2020-05-22,17.0,154.0,0.0,0.0,0.0,,,,
Saint Vincent and the Grenadines,2020-05-23,18.0,163.0,0.0,0.0,0.0,,,1.0,0.0
Saint Vincent and the Grenadines,2020-05-24,18.0,163.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-25,18.0,163.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-26,18.0,163.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-27,18.0,163.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-28,18.0,163.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-29,18.0,163.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-05-30,25.0,226.0,0.0,0.0,0.0,,,7.0,0.0
Saint Vincent and the Grenadines,2020-05-31,25.0,226.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-01,25.0,226.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-02,26.0,235.0,0.0,0.0,0.0,,,1.0,0.0
Saint Vincent and the Grenadines,2020-06-03,26.0,235.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-04,26.0,235.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-05,26.0,235.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-06,26.0,235.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-07,26.0,235.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-08,26.0,235.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-09,26.0,235.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-10,27.0,244.0,0.0,0.0,0.0,,,1.0,0.0
Saint Vincent and the Grenadines,2020-06-12,27.0,244.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-13,27.0,244.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-14,27.0,244.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-15,27.0,244.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-16,27.0,244.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-17,27.0,244.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-18,27.0,244.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-19,29.0,262.0,0.0,0.0,0.0,,,2.0,0.0
Saint Vincent and the Grenadines,2020-06-20,29.0,262.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-21,29.0,262.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-22,29.0,262.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-23,29.0,262.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-24,29.0,262.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-25,29.0,262.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-26,29.0,262.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-27,29.0,262.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-28,29.0,262.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-29,29.0,262.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-06-30,29.0,262.0,0.0,0.0,0.0,,,0.0,0.0
Saint Vincent and the Grenadines,2020-07-01,29.0,262.0,0.0,0.0,0.0,,,0.0,0.0
