Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Syria,2020-03-31,9.0,0.54,0.0,1.0,0.111111111,,,0.0,0.0
Syria,2020-04-01,10.0,0.61,0.0,2.0,0.2,,,1.0,1.0
Syria,2020-04-02,10.0,0.61,0.0,2.0,0.2,,,0.0,0.0
Syria,2020-04-03,16.0,0.97,0.0,2.0,0.125,,,6.0,0.0
Syria,2020-04-07,19.0,1.09,2.0,2.0,0.10526315789473684,,,3.0,0.0
Syria,2020-04-10,19.0,1.09,4.0,2.0,0.10526315789473684,,,0.0,0.0
Syria,2020-04-11,19.0,1.09,4.0,2.0,0.10526315789473684,,,0.0,0.0
Syria,2020-04-12,25.0,1.43,5.0,2.0,0.08,,,6.0,0.0
Syria,2020-04-14,25.0,1.43,5.0,2.0,0.08,,,0.0,0.0
Syria,2020-04-17,33.0,1.89,5.0,2.0,0.060606060606060615,,,8.0,0.0
Syria,2020-04-18,38.0,2.17,5.0,2.0,0.05263157894736842,,,5.0,0.0
Syria,2020-04-20,39.0,2.23,5.0,3.0,0.07692307692307693,,,1.0,1.0
Syria,2020-04-22,42.0,2.4,6.0,3.0,0.07142857142857142,,,3.0,0.0
Syria,2020-04-23,42.0,2.4,6.0,3.0,0.07142857142857142,,,0.0,0.0
Syria,2020-04-24,42.0,2.4,6.0,3.0,0.07142857142857142,,,0.0,0.0
Syria,2020-04-25,42.0,2.4,6.0,3.0,0.07142857142857142,,,0.0,0.0
Syria,2020-04-26,42.0,2.4,11.0,3.0,0.07142857142857142,,,0.0,0.0
Syria,2020-04-27,43.0,2.46,14.0,3.0,0.06976744186046513,,,1.0,0.0
Syria,2020-04-28,43.0,2.46,19.0,3.0,0.06976744186046513,,,0.0,0.0
Syria,2020-04-29,43.0,2.46,21.0,3.0,0.06976744186046513,,,0.0,0.0
Syria,2020-04-30,43.0,2.46,21.0,3.0,0.06976744186046513,,,0.0,0.0
Syria,2020-05-01,43.0,2.0,21.0,3.0,0.06976744186046513,,,0.0,0.0
Syria,2020-05-02,44.0,3.0,27.0,3.0,0.06818181818181818,,,1.0,0.0
Syria,2020-05-03,44.0,3.0,27.0,3.0,0.06818181818181818,,,0.0,0.0
Syria,2020-05-04,44.0,3.0,27.0,3.0,0.06818181818181818,,,0.0,0.0
Syria,2020-05-05,44.0,3.0,27.0,3.0,0.06818181818181818,,,0.0,0.0
Syria,2020-05-06,44.0,3.0,27.0,3.0,0.06818181818181818,,,0.0,0.0
Syria,2020-05-07,45.0,3.0,27.0,3.0,0.06666666666666668,,,1.0,0.0
Syria,2020-05-08,45.0,3.0,27.0,3.0,0.06666666666666668,,,0.0,0.0
Syria,2020-05-09,47.0,3.0,29.0,3.0,0.06382978723404255,,,2.0,0.0
Syria,2020-05-10,47.0,3.0,29.0,3.0,0.06382978723404255,,,0.0,0.0
Syria,2020-05-11,47.0,3.0,29.0,3.0,0.06382978723404255,,,0.0,0.0
Syria,2020-05-12,47.0,3.0,29.0,3.0,0.06382978723404255,,,0.0,0.0
Syria,2020-05-13,47.0,3.0,29.0,3.0,0.06382978723404255,,,0.0,0.0
Syria,2020-05-15,48.0,3.0,29.0,3.0,0.0625,,,1.0,0.0
Syria,2020-05-16,50.0,3.0,36.0,3.0,0.06,,,2.0,0.0
Syria,2020-05-17,50.0,3.0,36.0,3.0,0.06,,,0.0,0.0
Syria,2020-05-18,58.0,3.0,36.0,3.0,0.05172413793103448,,,8.0,0.0
Syria,2020-05-19,58.0,3.0,36.0,3.0,0.05172413793103448,,,0.0,0.0
Syria,2020-05-20,58.0,3.0,36.0,3.0,0.05172413793103448,,,0.0,0.0
,2020-05-21,,,,,,,,,
Syria,2020-05-22,58.0,3.0,36.0,3.0,0.05172413793103448,,,,
Syria,2020-05-23,59.0,3.0,37.0,4.0,0.06779661016949153,,,1.0,1.0
Syria,2020-05-24,70.0,4.0,37.0,4.0,0.057142857142857134,,,11.0,0.0
Syria,2020-05-25,86.0,5.0,41.0,4.0,0.04651162790697674,,,16.0,0.0
Syria,2020-05-26,106.0,6.0,41.0,4.0,0.03773584905660377,,,20.0,0.0
Syria,2020-05-27,121.0,7.0,41.0,4.0,0.033057851239669415,,,15.0,0.0
Syria,2020-05-28,121.0,7.0,41.0,4.0,0.033057851239669415,,,0.0,0.0
Syria,2020-05-29,122.0,7.0,43.0,4.0,0.032786885245901634,,,1.0,0.0
Syria,2020-05-30,122.0,7.0,43.0,4.0,0.032786885245901634,,,0.0,0.0
Syria,2020-05-31,122.0,7.0,43.0,4.0,0.032786885245901634,,,0.0,0.0
Syria,2020-06-01,122.0,7.0,43.0,4.0,0.032786885245901634,,,0.0,0.0
