Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Hungary,2020-03-31,447.0,44.66,34.0,15.0,0.033557047,,,0.0,0.0
Hungary,2020-04-01,492.0,49.16,37.0,16.0,0.032520325203252036,,,45.0,1.0
Hungary,2020-04-02,525.0,52.46,40.0,20.0,0.0380952380952381,,,33.0,4.0
Hungary,2020-04-03,585.0,58.45,42.0,20.0,0.034188034188034185,,,60.0,0.0
Hungary,2020-04-07,744.0,76.13,67.0,38.0,0.051075268817204304,,,159.0,18.0
Hungary,2020-04-10,980.0,100.28,96.0,66.0,0.0673469387755102,,,236.0,28.0
Hungary,2020-04-11,1190.0,121.77,112.0,77.0,0.06470588235294117,,,210.0,11.0
Hungary,2020-04-12,1310.0,134.05,115.0,85.0,0.0648854961832061,,,120.0,8.0
Hungary,2020-04-14,1458.0,149.19,120.0,109.0,0.0747599451303155,,,148.0,24.0
Hungary,2020-04-17,1652.0,169.04,199.0,142.0,0.08595641646489104,,,194.0,33.0
Hungary,2020-04-18,1834.0,187.66,231.0,172.0,0.09378407851690294,,,182.0,30.0
Hungary,2020-04-20,1916.0,196.06,250.0,172.0,0.08977035490605427,,,82.0,0.0
Hungary,2020-04-22,2098.0,214.68,287.0,213.0,0.1015252621544328,,,182.0,41.0
Hungary,2020-04-23,2168.0,221.84,295.0,225.0,0.10378228782287822,,,70.0,12.0
Hungary,2020-04-24,2284.0,233.71,390.0,239.0,0.10464098073555167,,,116.0,14.0
Hungary,2020-04-25,2383.0,243.84,401.0,250.0,0.1049097775912715,,,99.0,11.0
Hungary,2020-04-26,2443.0,249.98,458.0,262.0,0.1072451903397462,,,60.0,12.0
Hungary,2020-04-27,2583.0,264.31,498.0,280.0,0.10840108401084013,,,140.0,18.0
Hungary,2020-04-28,2583.0,264.31,498.0,280.0,0.10840108401084013,,,0.0,0.0
Hungary,2020-04-29,2649.0,271.06,516.0,291.0,0.1098527746319366,,,66.0,11.0
Hungary,2020-04-30,2727.0,279.04,536.0,300.0,0.11001100110011,,,78.0,9.0
Hungary,2020-05-01,2775.0,284.0,581.0,312.0,0.11243243243243244,,,48.0,12.0
Hungary,2020-05-02,2863.0,293.0,609.0,323.0,0.11281872162067763,,,88.0,11.0
Hungary,2020-05-03,2942.0,301.0,625.0,335.0,0.11386811692726034,,,79.0,12.0
Hungary,2020-05-04,2998.0,307.0,629.0,340.0,0.1134089392928619,,,56.0,5.0
Hungary,2020-05-05,3035.0,311.0,709.0,363.0,0.11960461285008238,,,37.0,23.0
Hungary,2020-05-06,3065.0,314.0,709.0,363.0,0.11843393148450244,,,30.0,0.0
Hungary,2020-05-07,3111.0,318.0,759.0,373.0,0.11989713918354225,,,46.0,10.0
Hungary,2020-05-08,3150.0,322.0,801.0,383.0,0.1215873015873016,,,39.0,10.0
Hungary,2020-05-09,3178.0,325.0,865.0,392.0,0.12334801762114538,,,28.0,9.0
Hungary,2020-05-10,3263.0,334.0,933.0,413.0,0.12657064051486366,,,85.0,21.0
Hungary,2020-05-11,3284.0,336.0,958.0,421.0,0.1281973203410475,,,21.0,8.0
Hungary,2020-05-12,3313.0,339.0,1007.0,425.0,0.12828252339269544,,,29.0,4.0
Hungary,2020-05-13,3341.0,342.0,1102.0,430.0,0.12870398084405865,,,28.0,5.0
Hungary,2020-05-15,3380.0,346.0,1169.0,436.0,0.1289940828402367,,,39.0,6.0
Hungary,2020-05-16,3417.0,350.0,1287.0,442.0,0.12935323383084574,,,37.0,6.0
Hungary,2020-05-17,3473.0,355.0,1371.0,448.0,0.1289951050964584,,,56.0,6.0
Hungary,2020-05-18,3509.0,359.0,1396.0,451.0,0.12852664576802508,,,36.0,3.0
Hungary,2020-05-19,3535.0,362.0,1400.0,462.0,0.1306930693069307,,,26.0,11.0
Hungary,2020-05-20,3556.0,364.0,1412.0,467.0,0.1313273340832396,,,21.0,5.0
,2020-05-21,,,,,,,,,
Hungary,2020-05-22,3678.0,376.0,1587.0,476.0,0.12941816204458945,,,,
Hungary,2020-05-23,3678.0,376.0,1587.0,476.0,0.12941816204458945,,,0.0,0.0
Hungary,2020-05-24,3713.0,380.0,1655.0,482.0,0.12981416644222998,,,35.0,6.0
Hungary,2020-05-25,3741.0,383.0,1690.0,486.0,0.12991178829190056,,,28.0,4.0
Hungary,2020-05-26,3756.0,384.0,1711.0,491.0,0.1307241746538871,,,15.0,5.0
Hungary,2020-05-27,3771.0,386.0,1836.0,499.0,0.13232564306549988,,,15.0,8.0
Hungary,2020-05-28,3793.0,388.0,1856.0,505.0,0.13313999472712892,,,22.0,6.0
Hungary,2020-05-29,3816.0,390.0,1996.0,509.0,0.13338574423480085,,,23.0,4.0
Hungary,2020-05-30,3841.0,393.0,2024.0,517.0,0.13460036448841448,,,25.0,8.0
Hungary,2020-05-31,3841.0,393.0,2024.0,517.0,0.13460036448841448,,,0.0,0.0
Hungary,2020-06-01,3876.0,397.0,2147.0,526.0,0.13570691434468524,,,35.0,9.0
Hungary,2020-06-02,3892.0,398.0,2156.0,527.0,0.13540596094552929,,,16.0,1.0
Hungary,2020-06-03,3931.0,402.0,2190.0,534.0,0.1358,,,39.0,7.0
Hungary,2020-06-04,3954.0,405.0,2205.0,539.0,0.1363,,,23.0,5.0
