Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Djibouti,2020-03-31,18.0,23.34,0.0,0.0,0.0,,,0.0,0.0
Djibouti,2020-04-01,30.0,38.91,0.0,0.0,0.0,,,12.0,0.0
Djibouti,2020-04-02,33.0,42.8,0.0,0.0,0.0,,,3.0,0.0
Djibouti,2020-04-03,40.0,51.88,0.0,0.0,0.0,,,7.0,0.0
Djibouti,2020-04-07,90.0,83.46,9.0,0.0,0.0,,,50.0,0.0
Djibouti,2020-04-10,140.0,129.83,28.0,1.0,0.0071428571428571435,,,50.0,1.0
Djibouti,2020-04-11,150.0,139.1,36.0,1.0,0.006666666666666667,,,10.0,0.0
Djibouti,2020-04-12,187.0,173.41,36.0,2.0,0.0106951871657754,,,37.0,1.0
Djibouti,2020-04-14,298.0,276.34,41.0,2.0,0.006711409395973154,,,111.0,0.0
Djibouti,2020-04-17,591.0,548.05,73.0,2.0,0.00338409475465313,,,293.0,0.0
Djibouti,2020-04-18,732.0,678.8,76.0,2.0,0.00273224043715847,,,141.0,0.0
Djibouti,2020-04-20,846.0,784.52,102.0,2.0,0.0023640661938534283,,,114.0,0.0
Djibouti,2020-04-22,945.0,876.32,112.0,2.0,0.0021164021164021165,,,99.0,0.0
Djibouti,2020-04-23,974.0,903.21,183.0,2.0,0.002053388090349076,,,29.0,0.0
Djibouti,2020-04-24,986.0,914.34,252.0,2.0,0.0020283975659229213,,,12.0,0.0
Djibouti,2020-04-25,999.0,926.4,330.0,2.0,0.002002002002002002,,,13.0,0.0
Djibouti,2020-04-26,1008.0,934.74,373.0,2.0,0.001984126984126984,,,9.0,0.0
Djibouti,2020-04-27,1023.0,948.65,411.0,2.0,0.001955034213098729,,,15.0,0.0
Djibouti,2020-04-28,1035.0,959.78,477.0,2.0,0.0019323671497584538,,,12.0,0.0
Djibouti,2020-04-29,1072.0,994.09,498.0,2.0,0.001865671641791045,,,37.0,0.0
Djibouti,2020-04-30,1072.0,994.09,498.0,2.0,0.001865671641791045,,,0.0,0.0
Djibouti,2020-05-01,1089.0,1010.0,642.0,2.0,0.0018365472910927454,,,17.0,0.0
Djibouti,2020-05-02,1097.0,1017.0,672.0,2.0,0.0018231540565177761,,,8.0,0.0
Djibouti,2020-05-03,1112.0,1031.0,686.0,2.0,0.0017985611510791368,,,15.0,0.0
Djibouti,2020-05-04,1112.0,1031.0,686.0,2.0,0.0017985611510791368,,,0.0,0.0
Djibouti,2020-05-05,1116.0,1035.0,713.0,2.0,0.0017921146953405016,,,4.0,0.0
Djibouti,2020-05-06,1120.0,1039.0,745.0,2.0,0.0017857142857142854,,,4.0,0.0
Djibouti,2020-05-07,1120.0,1039.0,755.0,3.0,0.002678571428571429,,,0.0,1.0
Djibouti,2020-05-08,1133.0,1051.0,799.0,3.0,0.00264783759929391,,,13.0,0.0
Djibouti,2020-05-09,1135.0,1053.0,824.0,3.0,0.002643171806167401,,,2.0,0.0
Djibouti,2020-05-10,1189.0,1103.0,834.0,3.0,0.002523128679562658,,,54.0,0.0
Djibouti,2020-05-11,1210.0,1122.0,847.0,3.0,0.002479338842975207,,,21.0,0.0
Djibouti,2020-05-12,1227.0,1138.0,872.0,3.0,0.002444987775061125,,,17.0,0.0
Djibouti,2020-05-13,1256.0,1165.0,886.0,3.0,0.0023885350318471337,,,29.0,0.0
Djibouti,2020-05-15,1284.0,1191.0,905.0,3.0,0.002336448598130841,,,28.0,0.0
Djibouti,2020-05-16,1309.0,1214.0,935.0,4.0,0.0030557677616501145,,,25.0,1.0
Djibouti,2020-05-17,1331.0,1234.0,950.0,4.0,0.0030052592036063108,,,22.0,0.0
Djibouti,2020-05-18,1401.0,1299.0,972.0,4.0,0.0028551034975017845,,,70.0,0.0
Djibouti,2020-05-19,1518.0,1408.0,1018.0,7.0,0.00461133069828722,,,117.0,3.0
Djibouti,2020-05-20,1518.0,1408.0,1033.0,7.0,0.00461133069828722,,,0.0,0.0
,2020-05-21,,,,,,,,,
Djibouti,2020-05-22,2047.0,1898.0,1055.0,10.0,0.0048851978505129465,,,,
Djibouti,2020-05-23,2270.0,2105.0,1064.0,10.0,0.004405286343612335,,,223.0,0.0
