Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Paraguay,2020-03-31,65.0,9.36,1.0,3.0,0.046153846,,,0.0,0.0
Paraguay,2020-04-01,69.0,9.94,1.0,3.0,0.043478260869565216,,,4.0,0.0
Paraguay,2020-04-02,77.0,11.09,1.0,3.0,0.03896103896103896,,,8.0,0.0
Paraguay,2020-04-03,77.0,11.09,1.0,3.0,0.03896103896103896,,,0.0,0.0
Paraguay,2020-04-07,104.0,14.54,12.0,3.0,0.02884615384615385,,,27.0,0.0
Paraguay,2020-04-10,124.0,17.34,15.0,5.0,0.04032258064516129,,,20.0,2.0
Paraguay,2020-04-11,129.0,18.04,18.0,6.0,0.04651162790697674,,,5.0,1.0
Paraguay,2020-04-12,133.0,18.59,18.0,6.0,0.045112781954887216,,,4.0,0.0
Paraguay,2020-04-14,147.0,20.55,22.0,6.0,0.040816326530612235,,,14.0,0.0
Paraguay,2020-04-17,174.0,24.33,30.0,8.0,0.045977011494252866,,,27.0,2.0
Paraguay,2020-04-18,199.0,27.82,30.0,8.0,0.04020100502512563,,,25.0,0.0
Paraguay,2020-04-20,206.0,28.8,41.0,8.0,0.03883495145631068,,,7.0,0.0
Paraguay,2020-04-22,208.0,29.08,53.0,8.0,0.038461538461538464,,,2.0,0.0
Paraguay,2020-04-23,213.0,29.78,62.0,9.0,0.04225352112676056,,,5.0,1.0
Paraguay,2020-04-24,220.0,30.76,70.0,9.0,0.040909090909090916,,,7.0,0.0
Paraguay,2020-04-25,220.0,30.76,70.0,9.0,0.040909090909090916,,,0.0,0.0
Paraguay,2020-04-26,223.0,31.18,78.0,9.0,0.04035874439461883,,,3.0,0.0
Paraguay,2020-04-27,228.0,31.88,85.0,9.0,0.03947368421052632,,,5.0,0.0
Paraguay,2020-04-28,228.0,31.88,85.0,9.0,0.03947368421052632,,,0.0,0.0
Paraguay,2020-04-29,239.0,33.41,102.0,9.0,0.037656903765690385,,,11.0,0.0
Paraguay,2020-04-30,239.0,33.41,102.0,9.0,0.037656903765690385,,,0.0,0.0
Paraguay,2020-05-01,249.0,35.0,111.0,9.0,0.03614457831325301,,,10.0,0.0
Paraguay,2020-05-02,266.0,37.0,113.0,10.0,0.03759398496240601,,,17.0,1.0
Paraguay,2020-05-03,333.0,47.0,115.0,10.0,0.03003003003003003,,,67.0,0.0
Paraguay,2020-05-04,333.0,47.0,115.0,10.0,0.03003003003003003,,,0.0,0.0
Paraguay,2020-05-05,396.0,55.0,126.0,10.0,0.02525252525252525,,,63.0,0.0
Paraguay,2020-05-06,431.0,60.0,135.0,10.0,0.023201856148491882,,,35.0,0.0
Paraguay,2020-05-07,440.0,62.0,142.0,10.0,0.022727272727272728,,,9.0,0.0
Paraguay,2020-05-08,462.0,65.0,148.0,10.0,0.021645021645021644,,,22.0,0.0
Paraguay,2020-05-09,563.0,79.0,152.0,10.0,0.01776198934280639,,,101.0,0.0
Paraguay,2020-05-10,689.0,96.0,155.0,10.0,0.01451378809869376,,,126.0,0.0
Paraguay,2020-05-11,713.0,100.0,165.0,10.0,0.014025245441795231,,,24.0,0.0
Paraguay,2020-05-12,724.0,101.0,170.0,10.0,0.013812154696132596,,,11.0,0.0
Paraguay,2020-05-13,737.0,103.0,173.0,10.0,0.0135685210312076,,,13.0,0.0
Paraguay,2020-05-15,754.0,105.0,184.0,11.0,0.014588859416445625,,,17.0,1.0
Paraguay,2020-05-16,759.0,106.0,193.0,11.0,0.014492753623188406,,,5.0,0.0
Paraguay,2020-05-17,778.0,109.0,198.0,11.0,0.014138817480719794,,,19.0,0.0
Paraguay,2020-05-18,786.0,110.0,1202.0,11.0,0.013994910941475829,,,8.0,0.0
Paraguay,2020-05-19,788.0,110.0,219.0,11.0,0.013959390862944164,,,2.0,0.0
Paraguay,2020-05-20,829.0,116.0,230.0,11.0,0.013268998793727385,,,41.0,0.0
,2020-05-21,,,,,,,,,
