Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
,2020-03-31,,,,,,,,0.0,0.0
,2020-04-01,,,,,,,,,
,2020-04-02,,,,,,,,,
,2020-04-03,,,,,,,,,
,2020-04-07,,,,,,,,,
,2020-04-10,,,,,,,,,
,2020-04-11,,,,,,,,,
,2020-04-12,,,,,,,,,
,2020-04-14,,,,,,,,,
,2020-04-17,,,,,,,,,
,2020-04-18,,,,,,,,,
,2020-04-20,,,,,,,,,
,2020-04-22,,,,,,,,,
,2020-04-23,,,,,,,,,
,2020-04-24,,,,,,,,,
,2020-04-25,,,,,,,,,
,2020-04-26,,,,,,,,,
,2020-04-27,,,,,,,,,
,2020-04-28,,,,,,,,,
,2020-04-29,,,,,,,,,
,2020-04-30,,,,,,,,,
,2020-05-01,,,,,,,,,
,2020-05-02,,,,,,,,,
,2020-05-03,,,,,,,,,
,2020-05-04,,,,,,,,,
,2020-05-05,,,,,,,,,
,2020-05-06,,,,,,,,,
,2020-05-07,,,,,,,,,
,2020-05-08,,,,,,,,,
,2020-05-09,,,,,,,,,
,2020-05-10,,,,,,,,,
Lesotho,2020-05-11,0.0,0.0,0.0,0.0,,,,,
Lesotho,2020-05-12,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-13,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-15,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-16,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-17,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-18,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-19,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-20,0.0,0.0,0.0,0.0,,,,0.0,0.0
,2020-05-21,,,,,,,,,
Lesotho,2020-05-22,0.0,0.0,0.0,0.0,,,,,
Lesotho,2020-05-23,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-24,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-25,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-26,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-27,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-28,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-29,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-30,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-05-31,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-01,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-02,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-03,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-04,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-05,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-06,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-07,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-08,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-09,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-10,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-12,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-13,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-14,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-15,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-16,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-17,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-18,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-19,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-20,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-21,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-22,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-23,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-24,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-25,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-26,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-27,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-28,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-29,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-06-30,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-07-01,0.0,0.0,0.0,0.0,,,,0.0,0.0
Lesotho,2020-07-02,27.0,13.0,4.0,0.0,0.0,,,27.0,0.0
Lesotho,2020-07-03,35.0,17.0,11.0,0.0,0.0,,,8.0,0.0
Lesotho,2020-07-04,35.0,17.0,11.0,0.0,0.0,,,0.0,0.0
Lesotho,2020-07-05,63.0,31.0,11.0,0.0,0.0,,,28.0,0.0
Lesotho,2020-07-06,79.0,39.0,11.0,0.0,0.0,,,16.0,0.0
Lesotho,2020-07-07,91.0,45.0,11.0,0.0,0.0,,,12.0,0.0
Lesotho,2020-07-09,91.0,45.0,11.0,0.0,0.0,,,0.0,0.0
Lesotho,2020-07-10,134.0,67.0,0.0,0.0,0.0,,,43.0,0.0
Lesotho,2020-07-11,184.0,92.0,26.0,1.0,0.0054,,,50.0,1.0
