Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Barbados,2020-03-31,33.0,113.4,0.0,0.0,0.0,,,0.0,0.0
Barbados,2020-04-01,34.0,116.84,0.0,0.0,0.0,,,1.0,0.0
Barbados,2020-04-02,45.0,154.64,0.0,0.0,0.0,,,11.0,0.0
Barbados,2020-04-03,46.0,158.08,0.0,0.0,0.0,,,1.0,0.0
Barbados,2020-04-07,56.0,195.1,6.0,1.0,0.017857142857142856,,,10.0,1.0
Barbados,2020-04-10,66.0,229.95,11.0,3.0,0.045454545454545456,,,10.0,2.0
Barbados,2020-04-11,67.0,233.43,11.0,4.0,0.059701492537313425,,,1.0,1.0
Barbados,2020-04-12,67.0,233.43,11.0,4.0,0.059701492537313425,,,0.0,0.0
Barbados,2020-04-14,72.0,250.85,13.0,4.0,0.05555555555555555,,,5.0,0.0
Barbados,2020-04-17,75.0,261.3,15.0,5.0,0.06666666666666668,,,3.0,1.0
Barbados,2020-04-18,75.0,261.3,15.0,5.0,0.06666666666666668,,,0.0,0.0
Barbados,2020-04-20,75.0,261.3,19.0,5.0,0.06666666666666668,,,0.0,0.0
Barbados,2020-04-22,75.0,261.3,25.0,5.0,0.06666666666666668,,,0.0,0.0
Barbados,2020-04-23,76.0,264.79,27.0,6.0,0.07894736842105263,,,1.0,1.0
Barbados,2020-04-24,76.0,264.79,30.0,6.0,0.07894736842105263,,,0.0,0.0
Barbados,2020-04-25,76.0,264.79,30.0,6.0,0.07894736842105263,,,0.0,0.0
Barbados,2020-04-26,79.0,275.24,31.0,6.0,0.0759493670886076,,,3.0,0.0
Barbados,2020-04-27,79.0,275.24,39.0,6.0,0.0759493670886076,,,0.0,0.0
Barbados,2020-04-28,79.0,275.24,39.0,6.0,0.0759493670886076,,,0.0,0.0
Barbados,2020-04-29,80.0,278.72,39.0,6.0,0.075,,,1.0,0.0
Barbados,2020-04-30,80.0,278.72,39.0,6.0,0.075,,,0.0,0.0
Barbados,2020-05-01,81.0,282.0,39.0,7.0,0.08641975308641975,,,1.0,1.0
Barbados,2020-05-02,81.0,282.0,39.0,7.0,0.08641975308641975,,,0.0,0.0
Barbados,2020-05-03,81.0,282.0,44.0,7.0,0.08641975308641975,,,0.0,0.0
Barbados,2020-05-04,81.0,282.0,44.0,7.0,0.08641975308641975,,,0.0,0.0
Barbados,2020-05-05,82.0,286.0,46.0,7.0,0.08536585365853659,,,1.0,0.0
Barbados,2020-05-06,82.0,286.0,47.0,7.0,0.08536585365853659,,,0.0,0.0
Barbados,2020-05-07,82.0,286.0,47.0,7.0,0.08536585365853659,,,0.0,0.0
Barbados,2020-05-08,82.0,286.0,47.0,7.0,0.08536585365853659,,,0.0,0.0
Barbados,2020-05-09,83.0,289.0,53.0,7.0,0.08433734939759037,,,1.0,0.0
Barbados,2020-05-10,84.0,293.0,57.0,7.0,0.08333333333333333,,,1.0,0.0
Barbados,2020-05-11,84.0,293.0,57.0,7.0,0.08333333333333333,,,0.0,0.0
Barbados,2020-05-12,84.0,293.0,57.0,7.0,0.08333333333333333,,,0.0,0.0
Barbados,2020-05-13,84.0,293.0,57.0,7.0,0.08333333333333333,,,0.0,0.0
Barbados,2020-05-15,85.0,296.0,65.0,7.0,0.08235294117647059,,,1.0,0.0
Barbados,2020-05-16,85.0,296.0,65.0,7.0,0.08235294117647059,,,0.0,0.0
Barbados,2020-05-17,85.0,296.0,65.0,7.0,0.08235294117647059,,,0.0,0.0
Barbados,2020-05-18,88.0,307.0,68.0,7.0,0.07954545454545454,,,3.0,0.0
Barbados,2020-05-19,88.0,307.0,68.0,7.0,0.07954545454545454,,,0.0,0.0
Barbados,2020-05-20,90.0,314.0,68.0,7.0,0.07777777777777778,,,2.0,0.0
,2020-05-21,,,,,,,,,
Barbados,2020-05-22,90.0,314.0,68.0,7.0,0.07777777777777778,,,,
Barbados,2020-05-23,90.0,314.0,70.0,7.0,0.07777777777777778,,,0.0,0.0
Barbados,2020-05-24,92.0,321.0,70.0,7.0,0.07608695652173914,,,2.0,0.0
Barbados,2020-05-25,92.0,321.0,70.0,7.0,0.07608695652173914,,,0.0,0.0
Barbados,2020-05-26,92.0,321.0,70.0,7.0,0.07608695652173914,,,0.0,0.0
Barbados,2020-05-27,92.0,321.0,70.0,7.0,0.07608695652173914,,,0.0,0.0
Barbados,2020-05-28,92.0,321.0,71.0,7.0,0.07608695652173914,,,0.0,0.0
Barbados,2020-05-29,92.0,321.0,71.0,7.0,0.07608695652173914,,,0.0,0.0
Barbados,2020-05-30,92.0,321.0,76.0,7.0,0.07608695652173914,,,0.0,0.0
Barbados,2020-05-31,92.0,321.0,76.0,7.0,0.07608695652173914,,,0.0,0.0
Barbados,2020-06-01,92.0,321.0,76.0,7.0,0.07608695652173914,,,0.0,0.0
Barbados,2020-06-02,92.0,321.0,76.0,7.0,0.07608695652173914,,,0.0,0.0
