Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Albania,2020-03-31,223.0,74.28,44.0,12.0,0.053811659000000005,,,0.0,0.0
Albania,2020-04-01,243.0,80.94,67.0,15.0,0.061728395061728385,,,20.0,3.0
Albania,2020-04-02,259.0,86.27,67.0,15.0,0.057915057915057924,,,16.0,0.0
Albania,2020-04-03,277.0,92.26,76.0,16.0,0.05776173285198556,,,18.0,1.0
Albania,2020-04-07,377.0,132.47,131.0,21.0,0.055702917771883284,,,100.0,5.0
Albania,2020-04-10,409.0,143.71,165.0,22.0,0.053789731051344734,,,32.0,1.0
Albania,2020-04-11,416.0,146.17,182.0,23.0,0.055288461538461536,,,7.0,1.0
Albania,2020-04-12,433.0,152.15,197.0,23.0,0.053117782909930716,,,17.0,0.0
Albania,2020-04-14,467.0,164.09,232.0,23.0,0.04925053533190578,,,34.0,0.0
Albania,2020-04-17,518.0,182.01,277.0,26.0,0.05019305019305019,,,51.0,3.0
Albania,2020-04-18,539.0,189.39,277.0,26.0,0.04823747680890538,,,21.0,0.0
Albania,2020-04-20,562.0,197.47,314.0,26.0,0.046263345195729534,,,23.0,0.0
Albania,2020-04-22,609.0,213.99,345.0,26.0,0.04269293924466338,,,47.0,0.0
Albania,2020-04-23,634.0,222.77,356.0,27.0,0.04258675078864353,,,25.0,1.0
Albania,2020-04-24,663.0,232.96,385.0,27.0,0.04072398190045249,,,29.0,0.0
Albania,2020-04-25,678.0,238.23,394.0,28.0,0.04129793510324484,,,15.0,1.0
Albania,2020-04-26,712.0,250.18,403.0,28.0,0.03932584269662921,,,34.0,0.0
Albania,2020-04-27,726.0,255.1,410.0,28.0,0.03856749311294766,,,14.0,0.0
Albania,2020-04-28,736.0,258.61,422.0,28.0,0.03804347826086957,,,10.0,0.0
Albania,2020-04-29,750.0,263.53,431.0,30.0,0.04,,,14.0,2.0
Albania,2020-04-30,750.0,263.53,431.0,30.0,0.04,,,0.0,0.0
Albania,2020-05-01,773.0,272.0,470.0,31.0,0.040103492884864166,,,23.0,1.0
Albania,2020-05-02,782.0,275.0,488.0,31.0,0.03964194373401535,,,9.0,0.0
Albania,2020-05-03,789.0,277.0,519.0,31.0,0.039290240811153364,,,7.0,0.0
Albania,2020-05-04,789.0,277.0,519.0,31.0,0.039290240811153364,,,0.0,0.0
Albania,2020-05-05,803.0,282.0,543.0,31.0,0.03860523038605231,,,14.0,0.0
Albania,2020-05-06,820.0,288.0,570.0,31.0,0.03780487804878049,,,17.0,0.0
Albania,2020-05-07,832.0,292.0,570.0,31.0,0.03725961538461538,,,12.0,0.0
Albania,2020-05-08,842.0,296.0,605.0,31.0,0.03681710213776722,,,10.0,0.0
Albania,2020-05-09,850.0,299.0,620.0,31.0,0.036470588235294116,,,8.0,0.0
Albania,2020-05-10,856.0,301.0,627.0,31.0,0.036214953271028034,,,6.0,0.0
Albania,2020-05-11,868.0,305.0,650.0,31.0,0.03571428571428571,,,12.0,0.0
Albania,2020-05-12,872.0,306.0,654.0,31.0,0.03555045871559633,,,4.0,0.0
Albania,2020-05-13,876.0,308.0,682.0,31.0,0.035388127853881284,,,4.0,0.0
Albania,2020-05-15,898.0,316.0,694.0,31.0,0.034521158129175944,,,22.0,0.0
Albania,2020-05-16,916.0,322.0,705.0,31.0,0.03384279475982533,,,18.0,0.0
Albania,2020-05-17,933.0,328.0,714.0,31.0,0.03322615219721329,,,17.0,0.0
Albania,2020-05-18,946.0,332.0,715.0,31.0,0.03276955602536998,,,13.0,0.0
Albania,2020-05-19,948.0,333.0,727.0,31.0,0.032700421940928266,,,2.0,0.0
Albania,2020-05-20,949.0,333.0,742.0,31.0,0.032665964172813484,,,1.0,0.0
,2020-05-21,,,,,,,,,
Albania,2020-05-22,969.0,340.0,771.0,31.0,0.03199174406604747,,,,
Albania,2020-05-23,981.0,345.0,777.0,31.0,0.03160040774719674,,,12.0,0.0
Albania,2020-05-24,989.0,348.0,783.0,31.0,0.031344792719919114,,,8.0,0.0
Albania,2020-05-25,998.0,351.0,789.0,32.0,0.032064128256513016,,,9.0,1.0
Albania,2020-05-26,1004.0,353.0,795.0,32.0,0.03187250996015936,,,6.0,0.0
Albania,2020-05-27,1029.0,362.0,803.0,33.0,0.03206997084548105,,,25.0,1.0
Albania,2020-05-28,1050.0,369.0,812.0,33.0,0.03142857142857143,,,21.0,0.0
Albania,2020-05-29,1076.0,378.0,823.0,33.0,0.030669144981412638,,,26.0,0.0
