Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
,2020-03-31,,,,,,,,0.0,0.0
,2020-04-01,,,,,,,,,
,2020-04-02,,,,,,,,,
Malawi,2020-04-03,3.0,0.15,0.0,0.0,0.0,,,,
Malawi,2020-04-07,5.0,0.26,0.0,0.0,0.0,,,2.0,0.0
Malawi,2020-04-10,8.0,0.42,0.0,1.0,0.125,,,3.0,1.0
Malawi,2020-04-11,9.0,0.47,0.0,1.0,0.1111111111111111,,,1.0,0.0
Malawi,2020-04-12,12.0,0.63,0.0,2.0,0.16666666666666666,,,3.0,1.0
Malawi,2020-04-14,16.0,0.84,0.0,2.0,0.125,,,4.0,0.0
Malawi,2020-04-17,16.0,0.84,0.0,2.0,0.125,,,0.0,0.0
Malawi,2020-04-18,17.0,0.89,0.0,2.0,0.1176470588235294,,,1.0,0.0
Malawi,2020-04-20,17.0,0.89,3.0,2.0,0.1176470588235294,,,0.0,0.0
Malawi,2020-04-22,18.0,0.94,3.0,2.0,0.1111111111111111,,,1.0,0.0
Malawi,2020-04-23,23.0,1.2,3.0,2.0,0.08695652173913042,,,5.0,0.0
Malawi,2020-04-24,33.0,1.73,3.0,3.0,0.09090909090909093,,,10.0,1.0
Malawi,2020-04-25,33.0,1.73,3.0,4.0,0.12121212121212123,,,0.0,1.0
Malawi,2020-04-26,33.0,1.73,4.0,3.0,0.09090909090909093,,,0.0,0.0
Malawi,2020-04-27,34.0,1.78,4.0,3.0,0.08823529411764706,,,1.0,0.0
Malawi,2020-04-28,36.0,1.88,4.0,3.0,0.08333333333333333,,,2.0,0.0
Malawi,2020-04-29,36.0,1.88,5.0,3.0,0.08333333333333333,,,0.0,0.0
Malawi,2020-04-30,36.0,1.88,5.0,3.0,0.08333333333333333,,,0.0,0.0
Malawi,2020-05-01,37.0,2.0,7.0,3.0,0.08108108108108109,,,1.0,0.0
Malawi,2020-05-02,37.0,2.0,9.0,3.0,0.08108108108108109,,,0.0,0.0
Malawi,2020-05-03,38.0,2.0,9.0,3.0,0.07894736842105263,,,1.0,0.0
Malawi,2020-05-04,38.0,2.0,9.0,3.0,0.07894736842105263,,,0.0,0.0
Malawi,2020-05-05,41.0,2.0,9.0,3.0,0.07317073170731707,,,3.0,0.0
Malawi,2020-05-06,41.0,2.0,9.0,3.0,0.07317073170731707,,,0.0,0.0
Malawi,2020-05-07,43.0,2.0,14.0,3.0,0.06976744186046513,,,2.0,0.0
Malawi,2020-05-08,43.0,2.0,14.0,3.0,0.06976744186046513,,,0.0,0.0
Malawi,2020-05-09,43.0,2.0,14.0,3.0,0.06976744186046513,,,0.0,0.0
Malawi,2020-05-10,56.0,3.0,14.0,3.0,0.05357142857142857,,,13.0,0.0
Malawi,2020-05-11,56.0,3.0,14.0,3.0,0.05357142857142857,,,0.0,0.0
Malawi,2020-05-12,57.0,3.0,24.0,3.0,0.05263157894736842,,,1.0,0.0
Malawi,2020-05-13,63.0,3.0,0.0,3.0,0.047619047619047616,,,6.0,0.0
Malawi,2020-05-15,63.0,3.0,24.0,3.0,0.047619047619047616,,,0.0,0.0
Malawi,2020-05-16,63.0,3.0,24.0,3.0,0.047619047619047616,,,0.0,0.0
Malawi,2020-05-17,65.0,3.0,24.0,3.0,0.04615384615384616,,,2.0,0.0
Malawi,2020-05-18,70.0,4.0,27.0,3.0,0.042857142857142864,,,5.0,0.0
Malawi,2020-05-19,70.0,4.0,27.0,3.0,0.042857142857142864,,,0.0,0.0
Malawi,2020-05-20,70.0,4.0,27.0,3.0,0.042857142857142864,,,0.0,0.0
,2020-05-21,,,,,,,,,
Malawi,2020-05-22,82.0,4.0,27.0,3.0,0.03658536585365853,,,,
Malawi,2020-05-23,82.0,4.0,28.0,3.0,0.03658536585365853,,,0.0,0.0
Malawi,2020-05-24,82.0,4.0,28.0,3.0,0.03658536585365853,,,0.0,0.0
Malawi,2020-05-25,83.0,4.0,33.0,4.0,0.04819277108433735,,,1.0,1.0
Malawi,2020-05-26,101.0,5.0,33.0,4.0,0.0396039603960396,,,18.0,0.0
Malawi,2020-05-27,101.0,5.0,37.0,4.0,0.0396039603960396,,,0.0,0.0
Malawi,2020-05-28,101.0,5.0,37.0,4.0,0.0396039603960396,,,0.0,0.0
Malawi,2020-05-29,203.0,11.0,42.0,4.0,0.019704433497536943,,,102.0,0.0
Malawi,2020-05-30,273.0,14.0,42.0,4.0,0.014652014652014654,,,70.0,0.0
Malawi,2020-05-31,279.0,15.0,42.0,4.0,0.014336917562724013,,,6.0,0.0
Malawi,2020-06-01,279.0,15.0,42.0,4.0,0.014336917562724013,,,0.0,0.0
Malawi,2020-06-02,336.0,18.0,42.0,4.0,0.011904761904761904,,,57.0,0.0
Malawi,2020-06-03,358.0,19.0,42.0,4.0,0.0112,,,22.0,0.0
Malawi,2020-06-04,369.0,19.0,51.0,4.0,0.0108,,,11.0,0.0
Malawi,2020-06-05,393.0,21.0,51.0,4.0,0.0102,,,24.0,0.0
Malawi,2020-06-06,409.0,21.0,55.0,4.0,0.0098,,,16.0,0.0
Malawi,2020-06-07,409.0,21.0,55.0,4.0,0.0098,,,0.0,0.0
Malawi,2020-06-08,438.0,23.0,55.0,4.0,0.0091,,,29.0,0.0
Malawi,2020-06-09,443.0,23.0,55.0,4.0,0.009000000000000001,,,5.0,0.0
Malawi,2020-06-10,455.0,24.0,55.0,4.0,0.0088,,,12.0,0.0
Malawi,2020-06-12,481.0,25.0,55.0,4.0,0.0083,,,26.0,0.0
Malawi,2020-06-13,481.0,25.0,65.0,4.0,0.0083,,,0.0,0.0
Malawi,2020-06-14,529.0,28.0,66.0,5.0,0.0095,,,48.0,1.0
Malawi,2020-06-15,529.0,28.0,66.0,5.0,0.0095,,,0.0,0.0
Malawi,2020-06-16,555.0,29.0,69.0,6.0,0.0108,,,26.0,1.0
