Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Gibraltar,2020-03-31,69.0,3290.89,14.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-04-01,69.0,3290.89,14.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-04-02,69.0,3290.89,14.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-04-03,88.0,4197.07,42.0,0.0,0.0,,,19.0,0.0
Gibraltar,2020-04-07,103.0,3056.29,52.0,0.0,0.0,,,15.0,0.0
Gibraltar,2020-04-10,123.0,3649.74,60.0,0.0,0.0,,,20.0,0.0
Gibraltar,2020-04-11,127.0,3768.43,69.0,0.0,0.0,,,4.0,0.0
Gibraltar,2020-04-12,129.0,3827.78,84.0,0.0,0.0,,,2.0,0.0
Gibraltar,2020-04-14,129.0,3827.78,84.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-04-17,131.0,3887.13,105.0,0.0,0.0,,,2.0,0.0
Gibraltar,2020-04-18,132.0,3916.8,105.0,0.0,0.0,,,1.0,0.0
Gibraltar,2020-04-20,132.0,3916.8,120.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-04-22,132.0,3916.8,120.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-04-23,133.0,3946.47,120.0,0.0,0.0,,,1.0,0.0
Gibraltar,2020-04-24,133.0,3946.47,129.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-04-25,133.0,3946.47,131.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-04-26,136.0,4035.49,131.0,0.0,0.0,,,3.0,0.0
Gibraltar,2020-04-27,141.0,4183.85,131.0,0.0,0.0,,,5.0,0.0
Gibraltar,2020-04-28,141.0,4183.85,131.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-04-29,141.0,4183.85,131.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-04-30,141.0,4183.85,131.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-01,144.0,4273.0,131.0,0.0,0.0,,,3.0,0.0
Gibraltar,2020-05-02,144.0,4273.0,131.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-03,144.0,4273.0,132.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-04,144.0,4273.0,132.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-05,144.0,4273.0,133.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-06,144.0,4273.0,133.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-07,144.0,4273.0,136.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-08,144.0,4273.0,136.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-09,146.0,4332.0,141.0,0.0,0.0,,,2.0,0.0
Gibraltar,2020-05-10,146.0,4332.0,143.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-11,146.0,4332.0,143.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-12,147.0,4362.0,143.0,0.0,0.0,,,1.0,0.0
Gibraltar,2020-05-13,148.0,4392.0,144.0,0.0,0.0,,,1.0,0.0
Gibraltar,2020-05-15,147.0,4362.0,144.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-16,147.0,4362.0,144.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-17,147.0,4362.0,144.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-18,147.0,4362.0,145.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-19,147.0,4362.0,145.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-20,147.0,4362.0,145.0,0.0,0.0,,,0.0,0.0
,2020-05-21,,,,,,,,,
Gibraltar,2020-05-22,151.0,4481.0,146.0,0.0,0.0,,,,
Gibraltar,2020-05-23,151.0,4481.0,146.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-24,151.0,4481.0,147.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-25,154.0,4570.0,147.0,0.0,0.0,,,3.0,0.0
Gibraltar,2020-05-26,154.0,4570.0,147.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-27,154.0,4570.0,147.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-28,157.0,4659.0,147.0,0.0,0.0,,,3.0,0.0
Gibraltar,2020-05-29,157.0,4659.0,147.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-05-30,161.0,4777.0,148.0,0.0,0.0,,,4.0,0.0
Gibraltar,2020-05-31,169.0,5015.0,149.0,0.0,0.0,,,8.0,0.0
Gibraltar,2020-06-01,170.0,5044.0,149.0,0.0,0.0,,,1.0,0.0
Gibraltar,2020-06-02,170.0,5044.0,151.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-03,172.0,5104.0,152.0,0.0,0.0,,,2.0,0.0
Gibraltar,2020-06-04,173.0,5133.0,153.0,0.0,0.0,,,1.0,0.0
Gibraltar,2020-06-05,173.0,5133.0,153.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-06,174.0,5163.0,153.0,0.0,0.0,,,1.0,0.0
Gibraltar,2020-06-07,175.0,5193.0,155.0,0.0,0.0,,,1.0,0.0
Gibraltar,2020-06-08,176.0,5222.0,164.0,0.0,0.0,,,1.0,0.0
Gibraltar,2020-06-09,176.0,5222.0,164.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-10,176.0,5222.0,164.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-12,176.0,5222.0,169.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-13,176.0,5222.0,172.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-14,176.0,5222.0,172.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-15,176.0,5222.0,172.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-16,176.0,5222.0,172.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-17,176.0,5222.0,172.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-18,176.0,5222.0,174.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-19,176.0,5222.0,174.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-20,176.0,5222.0,174.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-21,176.0,5222.0,174.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-22,176.0,5222.0,174.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-23,176.0,5222.0,174.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-24,176.0,5222.0,176.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-25,176.0,5222.0,176.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-26,176.0,5222.0,176.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-27,176.0,5222.0,176.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-28,176.0,5222.0,176.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-29,176.0,5222.0,176.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-06-30,176.0,5222.0,176.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-07-01,176.0,5222.0,176.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-07-02,177.0,5252.0,0.0,0.0,0.0,,,1.0,0.0
Gibraltar,2020-07-03,178.0,5282.0,176.0,0.0,0.0,,,1.0,0.0
Gibraltar,2020-07-04,178.0,5282.0,176.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-07-05,178.0,5282.0,176.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-07-06,179.0,5311.0,176.0,0.0,0.0,,,1.0,0.0
Gibraltar,2020-07-07,179.0,5311.0,176.0,0.0,0.0,,,0.0,0.0
Gibraltar,2020-07-09,179.0,5311.0,176.0,0.0,0.0,,,0.0,0.0
