Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Saint Barthélemy,2020-03-31,6.0,0.0,1.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-01,6.0,0.0,1.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-02,6.0,0.0,1.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-03,6.0,0.0,1.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-07,6.0,0.0,1.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-10,6.0,0.0,1.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-11,6.0,0.0,1.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-12,6.0,0.0,1.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-14,6.0,0.0,1.0,0.0,0.0,,,0.0,0.0
,2020-04-17,,,,,,,,,
,2020-04-18,,,,,,,,,
Saint Barthélemy,2020-04-20,6.0,0.0,1.0,0.0,0.0,,,,
Saint Barthélemy,2020-04-22,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-23,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-24,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-25,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-26,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-27,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-28,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-29,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-04-30,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-05-01,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-05-02,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-05-03,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-05-04,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-05-05,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-05-06,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-05-07,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-05-08,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-05-09,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-05-10,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-05-11,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-05-12,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Saint Barthélemy,2020-05-13,6.0,0.0,0.0,0.0,0.0,,,0.0,0.0
