Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Saudi Arabia,2020-03-31,1453,51.39,115.0,8,0.00550585,,,0,0
Saudi Arabia,2020-04-01,1563,55.28,165.0,10,0.0063979526551503525,,,110,2
Saudi Arabia,2020-04-02,1720,60.83,264.0,16,0.009302325581395349,,,157,6
Saudi Arabia,2020-04-03,1885,66.67,328.0,21,0.011140583554376658,,,165,5
Saudi Arabia,2020-04-07,2605,76.13,551.0,38,0.014587332053742803,,,720,17
Saudi Arabia,2020-04-10,3287,96.06,666.0,44,0.013386066321874049,,,682,6
Saudi Arabia,2020-04-11,3651,106.7,685.0,47,0.012873185428649686,,,364,3
Saudi Arabia,2020-04-12,4033,117.86,720.0,52,0.012893627572526656,,,382,5
Saudi Arabia,2020-04-14,4934,144.19,805.0,65,0.0131738954195379,,,901,13
Saudi Arabia,2020-04-17,6380,186.45,990.0,83,0.013009404388714731,,,1446,18
Saudi Arabia,2020-04-18,7142,208.72,1049.0,87,0.012181461775413049,,,762,4
Saudi Arabia,2020-04-20,9362,273.6,1398.0,97,0.010361033967101049,,,2220,10
Saudi Arabia,2020-04-22,11631,339.91,1640.0,109,0.009371507179090362,,,2269,12
Saudi Arabia,2020-04-23,12772,373.25,1812.0,114,0.008925775133103664,,,1141,5
Saudi Arabia,2020-04-24,13930,407.09,1925.0,121,0.008686288585786073,,,1158,7
Saudi Arabia,2020-04-25,15102,441.34,2049.0,127,0.008409482187789695,,,1172,6
Saudi Arabia,2020-04-26,16299,476.33,2215.0,136,0.008344070188355113,,,1197,9
Saudi Arabia,2020-04-27,17522,512.07,2357.0,139,0.007932884373929916,,,1223,3
Saudi Arabia,2020-04-28,18811,549.74,2531.0,144,0.007655095422890863,,,1289,5
Saudi Arabia,2020-04-29,20077,586.74,2784.0,152,0.007570852218957016,,,1266,8
Saudi Arabia,2020-04-30,20077,586.74,2784.0,152,0.007570852218957016,,,0,0
Saudi Arabia,2020-05-01,22753,665.0,3163.0,162,0.007119940227662287,,,2676,10
Saudi Arabia,2020-05-02,24097,704.0,3555.0,169,0.007013321160310412,,,1344,7
Saudi Arabia,2020-05-03,25459,744.0,3765.0,176,0.006913075925998664,,,1362,7
Saudi Arabia,2020-05-04,25459,744.0,3765.0,176,0.006913075925998664,,,0,0
Saudi Arabia,2020-05-05,28656,837.0,4474.0,191,0.0066652707984366285,,,3197,15
Saudi Arabia,2020-05-06,30251,884.0,5431.0,200,0.0066113516908531955,,,1595,9
Saudi Arabia,2020-05-07,31938,933.0,6783.0,209,0.006543928862170455,,,1687,9
Saudi Arabia,2020-05-08,33731,986.0,7798.0,219,0.006492543950668525,,,1793,10
