Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Gabon,2020-03-31,7.0,3.6,0.0,1.0,0.14285714300000002,,,0.0,0.0
Gabon,2020-04-01,16.0,8.24,0.0,1.0,0.0625,,,9.0,0.0
Gabon,2020-04-02,18.0,9.27,0.0,1.0,0.05555555555555555,,,2.0,0.0
Gabon,2020-04-03,18.0,9.27,0.0,1.0,0.05555555555555555,,,0.0,0.0
Gabon,2020-04-07,21.0,9.67,0.0,1.0,0.047619047619047616,,,3.0,0.0
Gabon,2020-04-10,44.0,20.25,1.0,1.0,0.022727272727272728,,,23.0,0.0
Gabon,2020-04-11,46.0,21.17,1.0,1.0,0.021739130434782608,,,2.0,0.0
Gabon,2020-04-12,46.0,21.17,1.0,1.0,0.021739130434782608,,,0.0,0.0
Gabon,2020-04-14,57.0,26.24,1.0,1.0,0.017543859649122806,,,11.0,0.0
Gabon,2020-04-17,80.0,36.82,5.0,1.0,0.0125,,,23.0,0.0
Gabon,2020-04-18,108.0,49.71,7.0,1.0,0.009259259259259259,,,28.0,0.0
Gabon,2020-04-20,109.0,50.17,7.0,1.0,0.009174311926605505,,,1.0,0.0
Gabon,2020-04-22,156.0,71.8,16.0,1.0,0.00641025641025641,,,47.0,0.0
Gabon,2020-04-23,166.0,76.41,24.0,1.0,0.006024096385542169,,,10.0,0.0
Gabon,2020-04-24,167.0,76.87,24.0,2.0,0.011976047904191616,,,1.0,1.0
Gabon,2020-04-25,172.0,79.17,26.0,3.0,0.017441860465116282,,,5.0,1.0
Gabon,2020-04-26,176.0,81.01,30.0,3.0,0.017045454545454544,,,4.0,0.0
Gabon,2020-04-27,176.0,81.01,30.0,3.0,0.017045454545454544,,,0.0,0.0
Gabon,2020-04-28,211.0,97.12,43.0,3.0,0.014218009478672985,,,35.0,0.0
Gabon,2020-04-29,238.0,109.55,53.0,3.0,0.012605042016806723,,,27.0,0.0
Gabon,2020-04-30,238.0,109.55,53.0,3.0,0.012605042016806723,,,0.0,0.0
Gabon,2020-05-01,276.0,127.0,67.0,3.0,0.010869565217391304,,,38.0,0.0
Gabon,2020-05-02,276.0,127.0,67.0,3.0,0.010869565217391304,,,0.0,0.0
Gabon,2020-05-03,335.0,154.0,85.0,5.0,0.01492537313432836,,,59.0,2.0
Gabon,2020-05-04,335.0,154.0,85.0,5.0,0.01492537313432836,,,0.0,0.0
Gabon,2020-05-05,367.0,169.0,93.0,6.0,0.01634877384196185,,,32.0,1.0
Gabon,2020-05-06,397.0,183.0,93.0,6.0,0.015113350125944584,,,30.0,0.0
Gabon,2020-05-07,439.0,202.0,99.0,8.0,0.018223234624145785,,,42.0,2.0
Gabon,2020-05-08,504.0,232.0,110.0,8.0,0.015873015873015872,,,65.0,0.0
Gabon,2020-05-09,620.0,285.0,110.0,8.0,0.012903225806451613,,,116.0,0.0
Gabon,2020-05-10,661.0,304.0,110.0,8.0,0.01210287443267776,,,41.0,0.0
Gabon,2020-05-11,661.0,304.0,110.0,8.0,0.01210287443267776,,,0.0,0.0
Gabon,2020-05-12,802.0,369.0,127.0,9.0,0.011221945137157107,,,141.0,1.0
Gabon,2020-05-13,863.0,397.0,137.0,9.0,0.010428736964078795,,,61.0,0.0
Gabon,2020-05-15,1104.0,508.0,182.0,10.0,0.009057971014492754,,,241.0,1.0
Gabon,2020-05-16,1209.0,556.0,219.0,10.0,0.008271298593879239,,,105.0,0.0
Gabon,2020-05-17,1209.0,556.0,219.0,10.0,0.008271298593879239,,,0.0,0.0
Gabon,2020-05-18,1320.0,608.0,244.0,11.0,0.008333333333333333,,,111.0,1.0
Gabon,2020-05-19,1432.0,659.0,301.0,11.0,0.0076815642458100564,,,112.0,0.0
Gabon,2020-05-20,1502.0,691.0,318.0,12.0,0.007989347536617843,,,70.0,1.0
,2020-05-21,,,,,,,,,
Gabon,2020-05-22,1567.0,721.0,365.0,12.0,0.007657945118059987,,,,
Gabon,2020-05-23,1728.0,795.0,402.0,12.0,0.006944444444444444,,,161.0,0.0
Gabon,2020-05-24,1934.0,890.0,459.0,12.0,0.0062047569803516025,,,206.0,0.0
Gabon,2020-05-25,1934.0,890.0,459.0,12.0,0.0062047569803516025,,,0.0,0.0
Gabon,2020-05-26,2135.0,983.0,462.0,14.0,0.006557377049180328,,,201.0,2.0
Gabon,2020-05-27,2238.0,1030.0,593.0,14.0,0.0062555853440571935,,,103.0,0.0
